ID_Alkalinity,ID_Coral,Chamber,Species,Date,Time,Metabolism,Temperature,At,delta_At,delta_T,delta_At_per_h,Vol_chamber,Vol_coral,Vol_water,delta_At_per_h_per_V,Final_delta_At_Std,Convert_Calcification,Surface_Area,Calcif_mol_cm2_h,Calcif_mmol_m2_day,Calcif_g_cm2_yr,Calcif_kg_m2_yr,Flow,Species_Flow
Metabo_coral_497,Coral_131,Big_T1_03,Phymmastrea_curta,2018-10-03,14:52:00,Day,27.9,2420.6708098713,-30.4445136968,2.4666666667,-12.3423704176,3.539,0.085,3.454,-43.696311108,-40.5066912123,20.2533456061,83.8630705583,0.2415049374,57.9611849783,0.2117421694,2.1174216936,Low,Phymmastrea_curta_Low
Metabo_coral_498,Coral_132,Big_T1_04,Phymmastrea_curta,2018-10-03,14:53:00,Day,27.9,2257.5589605708,-193.5563629973,2.4833333333,-77.9421595962,3.539,0.37,3.169,-253.1736713545,-249.9840514588,124.9920257294,214.6894606293,0.5821991697,139.7278007365,0.5104496683,5.1044966831,Low,Phymmastrea_curta_Low
Metabo_coral_541,Coral_137,Medium_T1_01,Pocillopora_verrucosa,2018-10-09,09:30:00,Day,27.9,2459.01,-10.5485200325,2.1333333333,-4.9446187652,1.138,0.039,1.099,-5.5699894236,-3.7388962239,1.8694481119,43.1568,0.0433175794,10.3962190631,0.0379791748,0.3797917483,High,Pocillopora_verrucosa_High
Metabo_coral_542,Coral_138,Medium_T1_02,Pocillopora_verrucosa,2018-10-09,09:30:00,Day,27.9,2398.82,-70.7385200325,2.1333333333,-33.1586812652,1.138,0.049,1.089,-37.0125489953,-35.1814557956,17.5907278978,47.4688,0.3705745226,88.9378854209,0.3249053794,3.2490537942,High,Pocillopora_verrucosa_High
Metabo_coral_543,Coral_139,Medium_T1_03,Pocillopora_verrucosa,2018-10-09,09:31:00,Day,27.9,2394.58,-74.9785200325,2.15,-34.8737302477,1.138,0.022,1.116,-39.8920600303,-38.0609668306,19.0304834153,35.8264,0.5311860364,127.4846487415,0.4657233301,4.6572333009,High,Pocillopora_verrucosa_High
Metabo_coral_544,Coral_140,Medium_T1_04,Pocillopora_verrucosa,2018-10-09,09:31:00,Day,27.9,2350.5,-119.0585200325,2.15,-55.3760558291,1.138,0.048,1.09,-61.868898375,-60.0378051753,30.0189025877,47.0376,0.6381895035,153.1654808289,0.559539823,5.5953982296,High,Pocillopora_verrucosa_High
Metabo_coral_545,Coral_141,Big_T1_01,Pocillopora_verrucosa,2018-10-09,09:32:00,Day,27.9,2364.06,-113.8762918164,2.1666666667,-52.5582885306,3.539,0.12,3.419,-184.1892081984,-182.3581149987,91.1790574994,78.084,1.1677047474,280.2491393864,1.023798267,10.2379826699,Low,Pocillopora_verrucosa_Low
Metabo_coral_546,Coral_142,Big_T1_02,Pocillopora_verrucosa,2018-10-09,09:33:00,Day,27.9,2366.42,-111.5162918164,2.1833333333,-51.0761641907,3.539,0.1,3.439,-180.0422018681,-178.2111086684,89.1055543342,69.46,1.2828326279,307.879830697,1.1247379307,11.2473793069,Low,Pocillopora_verrucosa_Low
Metabo_coral_547,Coral_143,Big_T1_03,Pocillopora_verrucosa,2018-10-09,09:34:00,Day,27.9,2405.81,-72.1262918164,2.2,-32.7846780984,3.539,0.65,2.889,-97.0828084018,-95.2517152021,47.6258576011,306.62,0.155325346,37.2780830482,0.1361832436,1.3618324361,Low,Pocillopora_verrucosa_Low
Metabo_coral_548,Coral_144,Big_T1_04,Pocillopora_verrucosa,2018-10-09,09:35:00,Day,27.9,2344.87,-133.0662918164,2.2166666667,-60.0299060826,3.539,0.19,3.349,-206.0661593573,-204.2350661576,102.1175330788,108.268,0.9431921997,226.3661279317,0.8269543664,8.2695436635,Low,Pocillopora_verrucosa_Low
Metabo_coral_591,Coral_149,Medium_T1_01,Pocillopora_verrucosa,2018-10-09,14:43:00,Day,29.6,2411.6228010487,-64.293865618,1.6166666667,-39.7694014132,1.138,0.01,1.128,-45.9813819139,-37.981337037,18.9906685185,30.652,0.6195572399,148.6937375846,0.5432037764,5.4320377642,High,Pocillopora_verrucosa_High
Metabo_coral_592,Coral_150,Medium_T1_02,Pocillopora_verrucosa,2018-10-09,14:43:00,Day,29.6,2396.4013809574,-79.5152857093,1.6166666667,-49.1847128099,1.138,0.03,1.108,-55.8590783382,-47.8590334612,23.9295167306,39.276,0.6092656261,146.2237502635,0.5341804883,5.3418048826,High,Pocillopora_verrucosa_High
Metabo_coral_593,Coral_151,Medium_T1_03,Pocillopora_verrucosa,2018-10-09,14:44:00,Day,29.6,2344.5009767442,-131.4156899225,1.6333333333,-80.4585856668,1.138,0.041,1.097,-90.4696451884,-82.4696003115,41.2348001557,44.0192,0.9367457872,224.8189889271,0.8213024017,8.2130240169,High,Pocillopora_verrucosa_High
Metabo_coral_594,Coral_152,Medium_T1_04,Pocillopora_verrucosa,2018-10-09,14:45:00,Day,29.6,2406.4977094588,-69.4189572079,1.65,-42.0720952775,1.138,0.18,0.958,-41.3126939577,-33.3126490808,16.6563245404,103.956,0.1602247541,38.4539409914,0.1404788548,1.4047885475,High,Pocillopora_verrucosa_High
Metabo_coral_595,Coral_153,Big_T1_01,Pocillopora_verrucosa,2018-10-09,14:46:00,Day,29.6,2373.8169314802,-69.1164018531,1.6666666667,-41.4698411119,3.539,0.07,3.469,-147.4553507875,-139.4553059106,69.7276529553,56.524,1.233593747,296.0624992795,1.0815671882,10.8156718821,Low,Pocillopora_verrucosa_Low
Metabo_coral_596,Coral_154,Big_T1_02,Pocillopora_verrucosa,2018-10-09,14:47:00,Day,29.6,2378.0286641165,-64.9046692168,1.6833333333,-38.5572292377,3.539,0.06,3.479,-137.4941155309,-129.494070654,64.747035327,52.212,1.2400795857,297.6191005609,1.0872537202,10.8725372019,Low,Pocillopora_verrucosa_Low
Metabo_coral_597,Coral_155,Big_T1_03,Pocillopora_verrucosa,2018-10-09,14:49:00,Day,29.6,2403.8008100624,-39.1325232709,1.7166666667,-22.7956446238,3.539,0.095,3.444,-80.4709050866,-72.4708602097,36.2354301048,67.304,0.5383844958,129.2122789902,0.4720346603,4.7203466028,Low,Pocillopora_verrucosa_Low
Metabo_coral_598,Coral_156,Big_T1_04,Pocillopora_verrucosa,2018-10-09,14:50:00,Day,29.7,2377.9745285043,-64.958804829,1.7333333333,-37.4762335552,3.539,0.065,3.474,-133.4472462551,-125.4472013781,62.7236006891,54.368,1.1536860044,276.8846410642,1.0115071764,10.1150717643,Low,Pocillopora_verrucosa_Low
Metabo_coral_641,Coral_161,Medium_T1_01,Montipora_verilli,2018-10-10,10:07:00,Day,28.2,2428.2603708491,-19.0358769313,3.0833333333,-6.1737979237,1.138,0.051,1.087,-6.8786913016,-8.1210766613,4.0605383307,33.16625,0.1224298294,29.3831590656,0.1073417296,1.0734172956,High,Montipora_verilli_High
Metabo_coral_642,Coral_162,Medium_T1_02,Montipora_verilli,2018-10-10,10:08:00,Day,28.2,2434.5608246697,-12.7354231108,3.1,-4.1082010035,1.138,0.053,1.085,-4.568833041,-5.8112184007,2.9056092003,28.26,0.1028170276,24.6760866272,0.090145985,0.9014598503,High,Montipora_verilli_High
Metabo_coral_643,Coral_163,Medium_T1_03,Montipora_verilli,2018-10-10,10:08:00,Day,28.2,2411.6228010487,-35.6734467318,3.1,-11.5075634619,1.138,0.065,1.073,-12.6563059845,-13.8986913442,6.9493456721,52.08,0.1334359768,32.0246344336,0.116991493,1.1699149302,High,Montipora_verilli_High
Metabo_coral_644,Coral_164,Medium_T1_04,Montipora_verilli,2018-10-10,10:09:00,Day,28.2,2396.4013809574,-50.8948668231,3.1166666667,-16.3299037935,1.138,0.041,1.097,-18.361752073,-19.6041374327,9.8020687164,26.41,0.3711498946,89.0759747038,0.3254098433,3.254098433,High,Montipora_verilli_High
Metabo_coral_645,Coral_165,Big_T1_01,Montipora_verilli,2018-10-10,10:10:00,Day,28.2,2344.5009767442,-96.451710485,3.1333333333,-30.7824607931,3.539,0.66,2.879,-90.8382722389,-92.0806575986,46.0403287993,463.94,0.099237679,23.8170429621,0.0870077509,0.870077509,Low,Montipora_verilli_Low
Metabo_coral_646,Coral_166,Big_T1_02,Montipora_verilli,2018-10-10,10:11:00,Day,28.2,2406.4977094588,-34.4549777704,3.15,-10.9380881811,3.539,0.3,3.239,-36.314179309,-37.5565646687,18.7782823344,83.025,0.2261762401,54.2822976242,0.1983025616,1.9830256163,Low,Montipora_verilli_Low
Metabo_coral_647,Coral_167,Big_T1_03,Montipora_verilli,2018-10-10,10:12:00,Day,28.2,2373.8169314802,-67.135755749,3.1666666667,-21.2007649734,3.539,0.27,3.269,-71.0379332154,-72.2803185751,36.1401592876,101.2714,0.3568644187,85.6474604776,0.3128848916,3.1288489164,Low,Montipora_verilli_Low
Metabo_coral_648,Coral_168,Big_T1_04,Montipora_verilli,2018-10-10,10:13:00,Day,28.2,2378.0286641165,-62.9240231127,3.1833333333,-19.7667088312,3.539,0.28,3.259,-66.0301966829,-67.2725820427,33.6362910213,112.5,0.2989892535,71.7574208455,0.2621421899,2.6214218986,Low,Montipora_verilli_Low
Metabo_coral_694,Coral_176,Medium_T1_04,Montipora_verilli,2018-10-10,14:05:00,Day,29,2489.7293584315,-14.8906884834,1.8833333333,-7.9065602567,1.138,0.03,1.108,-8.9794804835,-9.0436547551,4.5218273775,25.08,0.1802961474,43.271075383,0.1580766745,1.5807667451,High,Montipora_verilli_High
Metabo_coral_695,Coral_177,Big_T1_01,Montipora_verilli,2018-10-10,14:05:00,Day,29,2495.6697091908,-8.6204297679,1.8833333333,-4.5772193458,3.539,0.23,3.309,-15.5246692856,-15.5888435572,7.7944217786,120.7016,0.0645759607,15.4982305691,0.0566176996,0.5661769964,Low,Montipora_verilli_Low
