OTUID,Phylum,INDO12S1A,INDO12S1B,INDO12S1C,INDO12S2A,INDO12S2B,INDO12S2C,INDO13S1A,INDO13S1B,INDO13S1C
CE01500M1_0_ID218476,Echinodermata,1.82E-05,0.025892864,1.58E-05,0,5.38E-05,0,0,0,0
ART01A100M5_0_ID204011,Rhodophyta,0.002521346,0.000387413,0.006496901,9.41E-05,0.000224127,0.000266063,9.87E-05,0.001882056,9.10E-05
CE01500M1_0_ID259789,Unidentified,0,0.00068828,0,0,9.20E-05,0.00256523,0.003170374,0,0
CE01100M1_0_ID104880,Unidentified,0.000632015,0.001725119,0.001924983,0.002776172,0.002190186,0.000381144,0.000477403,0.001375187,0.000434463
IND11500M1_0_ID122854,Bryozoa,0,0,0,0,0,8.27E-06,0.003395316,3.47E-06,1.17E-05
ART01B100M7_0_ID77660,Porifera,0.001237417,2.24E-05,0.000435758,0.002527092,4.97E-06,0.000536262,2.91E-05,0.000581924,0.002190583
ART01A100M5_0_ID143663,Annelida,0.001483101,0.001345991,4.98E-05,0.010078746,0.000378947,0.00099298,5.58E-06,6.94E-05,0
ART01A500M5_0_ID101541,Unidentified,0.000857098,0.00088199,0.00051386,0.000352351,0.000158907,0.000592693,5.55E-05,6.94E-05,0.003693448
ART01B500M4_0_ID79036,Unidentified,0.001395729,0.000656239,0.000416387,0.002386746,0.00228257,0.00108332,0.001264004,0.00025963,0.000521923
ART01A100M5_0_ID102820,Annelida,0.001916441,2.37E-05,0.000640293,2.25E-05,0.00116589,0.000230622,9.34E-06,0.000417797,0.00472185
ART01A100M5_0_ID105951,Annelida,0.000290411,0.000602708,0.000656888,0.002998648,0.001083951,0.000208573,0.001653626,0.00113351,0.001459894
ART02BBSM7_0_ID20919,Porifera,0,0.000194217,0.000259832,0,0,1.30E-05,5.67E-06,0.001215411,0.005797508
ART01B500M4_0_ID222464,Porifera,0.001143093,2.16E-05,0.00434744,0.000109172,0.000171637,0.000783735,0.001219464,0.001031099,0.00013578
ART01B100M7_0_ID57100,Bryozoa,0.000745599,4.30E-06,0.000184549,0,0.004626993,3.90E-06,0.005339059,0.000594138,0.000659818
CE01500M1_0_ID103978,Annelida,0,0,0,2.85E-05,0,0,0,0.014428531,0
ART01B500M3_0_ID15178,Rhodophyta,0.000938216,0.000103368,0.000108528,0.000355672,0.002986688,0.001867757,0.000325049,0.001539402,0.000450188
IND06100M1_0_ID101441,Cnidaria,0,0,7.87E-06,0,0,0.005709736,0,0,0
BAO01B100M3_0_ID73683,Unidentified,0.000582792,0.0005645,0.000297901,0.000913423,0.000758572,0.001284491,0.00213582,0.000795497,0.000728843
BAA01C100M5_0_ID90063,Arthropoda,2.94E-06,0,0,0,0,0,5.67E-06,0,0.005297407
IND04100M1_0_ID240400,Unidentified,0,0,0,2.89E-05,0,0,0,0.013833102,0
ART01A100M5_0_ID113705,Annelida,0.000963459,0.000763795,0.000635593,1.57E-05,0.003167934,0.000708375,0.002437045,0.00025206,1.60E-05
ART01A100M5_0_ID104528,Porifera,0.001828235,9.25E-06,1.27E-05,0.004816292,3.47E-05,2.36E-05,0.000519821,0.000340004,1.54E-06
CE01100M6_0_ID189049,Annelida,3.68E-05,0,3.93E-05,0,0,0,7.73E-07,0,0.005196189
ART02A100M5_0_ID42159,Rhodophyta,0.00217091,0.000296002,0.000645538,5.90E-05,0.000410862,0.000793911,3.18E-05,4.33E-05,7.70E-06
ART01B500M4_0_ID241601,Bryozoa,0.002423807,3.28E-05,0.000259789,1.18E-05,0.000669424,8.99E-06,0.001016931,3.13E-05,0.00013578
ART01B500M3_0_ID83383,Porifera,0.000489199,0,0.000975956,0.001121036,0.000321356,0.001415239,0.002480554,0.000519811,0.000816128
CE01100M4_0_ID28712,Unidentified,0.002904295,0.001996584,0.000998217,0.001139785,0.000606237,0.001022255,0.000212514,0.001016476,0.001138331
BAA02C100M5_0_ID126841,Cnidaria,4.10E-06,0,1.37E-05,2.99E-06,0.000768332,0.004859971,2.13E-05,0,0
ART01A100M5_0_ID105031,Porifera,7.41E-05,9.39E-05,0.000162699,0.000108246,1.81E-05,3.75E-05,0.000229122,0.006923933,0.002178097
CE01100M4_0_ID91449,Mollusca,4.10E-06,0,0,0,0,0,0,0,0.00489012
CE01100M1_0_ID106517,Unidentified,0.001502317,0.001717121,0.001525015,0.000409945,0.000200056,0.000293884,0.001212287,0.000800615,0.000888907
