OTUID,Phylum,INDO18S12S1A,INDO18S12S1B,INDO18S12S1C,INDO18S12S2A,INDO18S12S2B,INDO18S12S2C,INDO18S13S1A,INDO18S13S1B,INDO18S13S1C
OTU_168,Cnidaria,0.001616683,0.00241322,0.000120713,0.001864186,0.000110087,0.000325097,7.93E-06,0.000366095,0.000580024
OTU_1123,Arthropoda,0,0,0,0.005308886,0.003441955,0,3.57E-05,0,0
OTU_422,Annelida,6.92E-05,0.000353427,0.003505683,0.003331208,0.000327017,0.000306778,0.000213754,0.000161297,0.000813655
OTU_655,Arthropoda,0.001145907,0.000646795,0.000730596,0.000944513,0.000764818,0.000642898,0.001140925,0.001141005,0.002109225
OTU_1198952,Annelida,0.000456091,0.001514761,0.000833918,0.000277314,9.48E-05,0.000307379,0.006360524,0.000185571,0.000360768
OTU_99,Rhodophyta,0.000709654,0.002464164,0.000324535,0.000497037,0.000565688,0.000136159,0.002683794,0.002131884,0.000509684
OTU_463,Rhodophyta,0.000366325,0.000380045,0.000796609,0.002253109,0.000111449,0.001758687,0.00090833,0.000788255,0.001606441
OTU_254,Entoprocta,0.000600767,0.000272453,0.000443326,0.002441396,4.06E-05,0.001083742,0.000665108,0.001019453,0.000626296
OTU_2191296,Porifera,0.00237564,0.002482381,0.000227115,0.000635421,4.03E-06,0.000522996,0.000277105,0.000487941,6.74E-05
OTU_9640,Annelida,1.59E-05,2.00E-06,0,0,5.67E-06,8.40E-06,0.010340192,0,0.000304844
OTU_241,Porifera,0.00048333,0.003862471,5.61E-05,0,0,1.05E-06,0.000434509,0.003302761,3.98E-05
OTU_3998,Chordata,9.06E-05,4.63E-06,1.57E-05,0,0,9.43E-06,0,0.000296817,0.006126467
OTU_707,Arthropoda,0.001094598,0.000887264,0.000594497,0.0002703,0.000424531,0.000563455,0.001050481,0.001523827,0.001437032
OTU_320,Rhodophyta,0.001713724,0.000753995,0.000437144,0.000376035,0.000317386,0.000828365,0.000247265,0.000747334,0.000477429
OTU_198017,Porifera,0.002208275,3.75E-05,0,0.000126514,0.001542973,0.000205933,0.000201624,0.001593967,0.002941289
OTU_946,Arthropoda,0.001285747,0.001462153,0.000753516,0.000777728,0.000397576,0.00154238,0.000197077,0.000354922,0.000843064
OTU_844,Bryozoa,0.0028369,0.000601094,5.59E-05,0.000108773,0.000208809,0.000358376,0.001912027,0.000435462,0.000208645
OTU_832,Arthropoda,0.001434977,0.001122326,0.000730596,0.000502988,0.000611275,0.000743092,0.000609441,0.000655353,0.001485987
OTU_166,Porifera,0.001873635,0.00019265,0.000194127,5.53E-05,0.000169552,0.001142334,0.00083977,0.000541988,0.000561064
OTU_6724,Cnidaria,0.000227061,0.001363635,0.000499976,0.002577614,0.000312809,0.000171221,0.000459339,0.001752315,0.000104397
OTU_118898,Rhodophyta,0.000153657,0.00021571,2.16E-05,0.000469754,0.000893393,0.00127154,0.000159504,0.000566978,0.000979516
OTU_739328,Chordata,3.54E-05,0.000243672,7.87E-05,1.47E-05,0,0.001143,0.006493607,0,5.07E-06
OTU_696,Cnidaria,8.39E-05,0.001023462,0,6.85E-06,0.002870407,1.68E-05,1.53E-05,0.000142879,3.11E-05
OTU_1113,Porifera,0,0,2.95E-06,0,0,0.001705708,0.004164552,8.54E-05,0
OTU_614,Echinodermata,9.14E-05,0.000118353,2.54E-05,0.003607519,2.90E-06,0,0.000495148,0.00023231,0.002721657
OTU_979,Porifera,4.93E-05,3.05E-05,4.73E-05,4.03E-05,0,5.12E-05,0.003789808,0.006215159,6.52E-05
OTU_1051,Annelida,0,0,0,0.000111431,0,0,0,0.011159575,2.49E-06
OTU_209,Rhodophyta,0.001885409,0.000340737,0.001187358,0.000297273,0.000249295,0.000827238,0.000184378,0.000810889,0.000100774
OTU_1016,Cnidaria,0.004426806,9.48E-05,0,0,0.000224754,0,0,8.95E-05,1.23E-05
OTU_1182,Porifera,0.0001934,0,8.87E-06,7.58E-05,0.000706989,0.000356966,0.001242544,0.000273163,0.002813003
OTU_62,Annelida,0.001270778,0.000592489,0.000500228,0.000721398,0.000689495,0.001180996,0.000435583,0.000135657,0.001276948
OTU_234,Annelida,4.40E-05,0.002020182,1.16E-05,0.00035544,0.000649109,0.0013325,0.000924085,0.000573187,0.001916591
